Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Tel Aviv-Yafo,45.3,"25,442",349,5000,
Tel Aviv-Yafo,46.6,"29,499",411,5000,
Tel Aviv-Yafo,39.6,"27,264",412,5000,
Tel Aviv-Yafo,47.8,"26,981",413,5000,
Tel Aviv-Yafo,51.2,"30,473",414,5000,
Tel Aviv-Yafo,52.4,"29,273",415,5000,
Tel Aviv-Yafo,50.6,"30,629",421,5000,
Tel Aviv-Yafo,46.1,"27,946",422,5000,
Tel Aviv-Yafo,40.6,"29,221",423,5000,
Tel Aviv-Yafo,48.7,"28,859",424,5000,
Tel Aviv-Yafo,46.8,"27,841",431,5000,
Tel Aviv-Yafo,47.9,"32,926",432,5000,
Tel Aviv-Yafo,47.7,"28,804",433,5000,
Tel Aviv-Yafo,48.1,"34,592",435,5000,
Tel Aviv-Yafo,48.6,"20,983",436,5000,
Tel Aviv-Yafo,28.5,"31,603",437,5000,
Tel Aviv-Yafo,20.8,"27,748",511,5000,
Tel Aviv-Yafo,28.2,"28,192",512,5000,
Tel Aviv-Yafo,31.4,"27,949",513,5000,
Tel Aviv-Yafo,36.2,"26,145",514,5000,
Tel Aviv-Yafo,42.9,"27,511",515,5000,
Tel Aviv-Yafo,38.5,"30,146",516,5000,
Tel Aviv-Yafo,41.5,"27,138",517,5000,
Tel Aviv-Yafo,24.0,"24,883",521,5000,
Tel Aviv-Yafo,23.2,"23,042",522,5000,
Tel Aviv-Yafo,21.2,"18,305",523,5000,
Tel Aviv-Yafo,23.0,"28,449",532,5000,
Tel Aviv-Yafo,27.6,"30,849",533,5000,
Tel Aviv-Yafo,25.4,"27,887",541,5000,
Tel Aviv-Yafo,29.2,"27,065",542,5000,
Tel Aviv-Yafo,32.1,"27,210",543,5000,
Tel Aviv-Yafo,36.0,"32,242",544,5000,
Tel Aviv-Yafo,26.2,"24,194",552,5000,
Tel Aviv-Yafo,38.5,"24,356",554,5000,
Tel Aviv-Yafo,40.6,"27,959",555,5000,
Tel Aviv-Yafo,41.9,"22,472",611,5000,
Tel Aviv-Yafo,40.2,"24,825",612,5000,
Tel Aviv-Yafo,15.4,"19,920",711,5000,
Tel Aviv-Yafo,22.9,"23,065",712,5000,
Tel Aviv-Yafo,13.5,"14,953",713,5000,
Tel Aviv-Yafo,15.3,"20,892",715,5000,
Tel Aviv-Yafo,13.2,"14,983",721,5000,
Tel Aviv-Yafo,20.1,"33,176",722,5000,
Tel Aviv-Yafo,7.7,"29,551",723,5000,
Tel Aviv-Yafo,6.7,"28,796",724,5000,
Tel Aviv-Yafo,7.2,"28,666",725,5000,
Tel Aviv-Yafo,19.2,"21,344",731,5000,
Tel Aviv-Yafo,9.0,"29,020",732,5000,
Tel Aviv-Yafo,9.2,"29,286",733,5000,
Tel Aviv-Yafo,9.6,"28,068",734,5000,
Tel Aviv-Yafo,6.8,"11,735",735,5000,
Tel Aviv-Yafo,5.1,"11,264",736,5000,
Tel Aviv-Yafo,6.5,"13,174",743,5000,
Tel Aviv-Yafo,6.5,"12,785",744,5000,
Tel Aviv-Yafo,8.6,"13,534",745,5000,
Tel Aviv-Yafo,5.1,"11,131",746,5000,
Tel Aviv-Yafo,7.0,"12,691",747,5000,
Tel Aviv-Yafo,21.1,"16,661",811,5000,
Tel Aviv-Yafo,28.3,"22,849",812,5000,
Tel Aviv-Yafo,23.8,"22,592",813,5000,
Tel Aviv-Yafo,11.4,"16,733",814,5000,
Tel Aviv-Yafo,6.1,"13,856",815,5000,
Tel Aviv-Yafo,4.1,"12,503",816,5000,
Tel Aviv-Yafo,3.8,"13,371",821,5000,
Tel Aviv-Yafo,8.4,"12,177",822,5000,
Tel Aviv-Yafo,8.6,"11,946",823,5000,
Tel Aviv-Yafo,6.8,"15,080",824,5000,
Tel Aviv-Yafo,9.0,"16,841",826,5000,
Tel Aviv-Yafo,9.2,"13,895",832,5000,
Tel Aviv-Yafo,6.3,"15,041",833,5000,
Tel Aviv-Yafo,32.2,"22,478",911,5000,
Tel Aviv-Yafo,34.6,"20,219",912,5000,
Tel Aviv-Yafo,27.1,"22,504",915,5000,
Tel Aviv-Yafo,23.5,"20,648",916,5000,
Tel Aviv-Yafo,25.0,"19,358",921,5000,
Tel Aviv-Yafo,24.4,"20,144",922,5000,
Tel Aviv-Yafo,9.8,"14,380",924,5000,
Tel Aviv-Yafo,10.4,"15,844",925,5000,
Tel Aviv-Yafo,15.1,"18,652",926,5000,
Tel Aviv-Yafo,17.9,"18,161",927,5000,
Tel Aviv-Yafo,15.9,"16,537",928,5000,
Tel Aviv-Yafo,12.7,"15,396",929,5000,
Tel Aviv-Yafo,6.7,"11,317",931,5000,
Tel Aviv-Yafo,5.4,"16,749",932,5000,
Tel Aviv-Yafo,5.9,"12,457",933,5000,
Tel Aviv-Yafo,3.9,"11,861",934,5000,
Tel Aviv-Yafo,3.6,"13,142",935,5000,
Tel Aviv-Yafo,5.1,"19,236",936,5000,
Tel Aviv-Yafo,9.3,"14,151",937,5000,
Tel Aviv-Yafo,7.7,"14,006",941,5000,
Tel Aviv-Yafo,12.3,"16,520",942,5000,
Tel Aviv-Yafo,10.3,"15,564",943,5000,
Tel Aviv-Yafo,8.3,"14,204",944,5000,
Tel Aviv-Yafo,12.3,"13,838",945,5000,
Tel Aviv-Yafo,13.0,"14,479",946,5000,
Tel Aviv-Yafo,15.2,"14,673",947,5000,
Haifa,5.5,"10,499",111,4000,
Haifa,26.9,"10,758",112,4000,
Haifa,11.5,"10,842",121,4000,
Haifa,9.0,"10,710",122,4000,
Haifa,23.5,"10,601",131,4000,
Haifa,28.1,"10,678",132,4000,
Haifa,22.9,"10,973",133,4000,
Haifa,25.9,"10,984",134,4000,
Haifa,18.2,"10,817",135,4000,
Haifa,4.0,"4,211",311,4000,
Haifa,8.3,"4,831",321,4000,
Haifa,6.8,"4,578",331,4000,
Haifa,7.9,"4,439",332,4000,
Haifa,9.0,"5,635",333,4000,
Haifa,14.2,"6,971",334,4000,
Haifa,11.9,"7,698",411,4000,
Haifa,10.1,"8,413",412,4000,
Haifa,16.4,"8,489",413,4000,
Haifa,10.1,"7,564",414,4000,
Haifa,13.7,"10,111",417,4000,
Haifa,15.3,"6,089",421,4000,
Haifa,14.8,"8,911",422,4000,
Haifa,13.7,"9,182",423,4000,
Haifa,13.4,"8,646",424,4000,
Haifa,24.4,"10,160",425,4000,
Haifa,6.9,"8,147",426,4000,
Haifa,9.1,"9,904",431,4000,
Haifa,43.4,"15,839",511,4000,
Haifa,45.1,"17,570",512,4000,
Haifa,38.8,"11,980",513,4000,
Haifa,37.7,"14,901",514,4000,
Haifa,23.4,"9,011",521,4000,
Haifa,34.5,"13,137",522,4000,
Haifa,30.1,"15,366",523,4000,
Haifa,39.9,"15,261",524,4000,
Haifa,40.6,"15,666",525,4000,
Haifa,36.1,"14,500",526,4000,
Haifa,19.8,"9,013",527,4000,
Haifa,29.4,"11,424",528,4000,
Haifa,27.2,"11,915",531,4000,
Haifa,28.4,"13,881",532,4000,
Haifa,35.6,"13,964",533,4000,
Haifa,20.7,"7,378",611,4000,
Haifa,13.9,"6,620",612,4000,
Haifa,16.8,"7,756",621,4000,
Haifa,12.3,"7,900",622,4000,
Haifa,17.9,"9,444",623,4000,
Haifa,9.5,"6,740",631,4000,
Haifa,7.2,"5,499",632,4000,
Haifa,4.7,"5,244",633,4000,
Haifa,5.4,"4,862",634,4000,
Haifa,5.0,"6,224",641,4000,
Haifa,4.4,"7,497",642,4000,
Haifa,1.9,"8,533",643,4000,
Haifa,14.4,"7,427",644,4000,
Haifa,2.8,"3,991",711,4000,
Haifa,10.1,"6,408",712,4000,
Haifa,7.1,"6,455",713,4000,
Haifa,14.6,"7,469",714,4000,
Haifa,20.6,"8,605",715,4000,
Haifa,28.4,"10,598",721,4000,
Haifa,31.5,"12,211",722,4000,
Haifa,26.1,"10,842",723,4000,
Haifa,19.9,"9,085",731,4000,
Haifa,23.7,"9,855",732,4000,
Haifa,18.5,"9,435",733,4000,
Haifa,32.7,"12,258",811,4000,
